Call started at: 2025-09-02T13:05:59.581127
Stream SID: 96c127f559ecf4f2e2f859b1b1f41992

[13:06:30] User: హలో
[13:06:30] AI (chunk): नमस्ते जी,
[13:06:31] AI (chunk):  हाँ,
[13:06:32] AI (chunk):  मैं
[13:06:32] AI (chunk):  सुमित्रा
[13:06:32] AI (chunk):  देवी
[13:06:32] AI (chunk):  बात
[13:06:32] AI (chunk):  कर
[13:06:32] AI (chunk):  रही
[13:06:32] AI (chunk):  हूँ।
[13:06:33] AI (chunk):  आप
[13:06:33] AI (chunk):  कैसे
[13:06:33] AI (chunk):  मदद
[13:06:33] AI (chunk):  कर
[13:06:33] AI (chunk):  सकते
[13:06:34] AI (chunk):  हैं?

Call ended at: 2025-09-02T13:06:37.146521
