Call started at: 2025-09-02T10:42:27.034323
Stream SID: 6391571f534599eaa5f985cb2e001992

[10:43:04] User: కదా కదా
[10:43:05] AI (chunk): जी, कृपया
[10:43:05] AI (chunk):  बताइए
[10:43:06] AI (chunk):  आपके
[10:43:06] AI (chunk):  इलाके
[10:43:06] AI (chunk):  में
[10:43:06] AI (chunk):  सबसे
[10:43:06] AI (chunk):  बड़ी
[10:43:06] AI (chunk):  परेशानी
[10:43:06] AI (chunk):  क्या
[10:43:06] AI (chunk):  है?
[10:43:16] User: .
[10:43:23] User: .
[10:43:24] AI (chunk): मैं समझ
[10:43:24] AI (chunk):  रही
[10:43:24] AI (chunk):  हूँ
[10:43:25] AI (chunk):  कि
[10:43:25] AI (chunk):  आपको
[10:43:25] AI (chunk):  इलाज
[10:43:25] AI (chunk):  में
[10:43:27] AI (chunk):  दिक्कत
[10:43:27] AI (chunk):  हो
[10:43:27] AI (chunk):  रही
[10:43:27] AI (chunk):  है
[10:43:27] AI (chunk):  और
[10:43:29] AI (chunk):  एम्बुलेंस
[10:43:29] AI (chunk):  नहीं
[10:43:29] AI (chunk):  मिल
[10:43:29] AI (chunk):  पा
[10:43:29] AI (chunk):  रही।
[10:43:29] AI (chunk):  क्या
[10:43:31] AI (chunk):  आप
[10:43:31] AI (chunk):  मुझे
[10:43:31] AI (chunk):  थोड़ा
[10:43:31] AI (chunk):  और
[10:43:31] AI (chunk):  बता
[10:43:33] AI (chunk):  सकते
[10:43:34] AI (chunk):  हैं
[10:43:34] AI (chunk):  कि
[10:43:34] AI (chunk):  यह
[10:43:36] User: <noise>
[10:43:37] AI (chunk): ठीक है।
[10:43:37] AI (chunk):  मैं
[10:43:37] AI (chunk):  आपकी
[10:43:38] AI (chunk):  बात
[10:43:38] AI (chunk):  नोट
[10:43:38] AI (chunk):  कर
[10:43:38] AI (chunk):  रही
[10:43:38] AI (chunk):  हूँ।
[10:43:38] AI (chunk):  इसके
[10:43:40] AI (chunk):  अलावा
[10:43:40] AI (chunk):  और
[10:43:40] AI (chunk):  कोई
[10:43:40] AI (chunk):  परेशानी
[10:43:40] AI (chunk):  है
[10:43:41] AI (chunk):  जिसके
[10:43:41] AI (chunk):  बारे
[10:43:41] AI (chunk):  में
[10:43:41] AI (chunk):  आप
[10:43:41] AI (chunk):  बताना
[10:43:42] AI (chunk):  चाहेंगी?

Call ended at: 2025-09-02T10:43:55.194224
